accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
4,2,2,1,1,1,52.35846552,4.933843209,2,8,3.27948289,1,0,1,0,0
4,1,2,1,2,1,52.36358946,4.983352985,3,0,5.951843243,1,0,1,0,0
2,1,1,1,1,1,52.37520877,4.861646987,3,8,2.60105452,1,0,1,0,0
2,1,1,1,1,1,52.38738153,4.890456946,2,41,1.095138251,1,0,0,1,0
2,1,1,1,1,1,52.38406176,4.889877177,3,0,0.844491341,1,0,1,0,0
3,1.5,1,1,2,1,52.35589373,4.90925329,2,9,2.67310507,1,0,1,0,0
4,2,2,1,2,1,52.35737102,4.858545552,1,0,3.684304636,0,1,1,0,0
2,1,1,1,1,1,52.37951299,4.854446242,2,20,3.05171634,1,0,1,0,0
5,1.5,3,1,1,1,52.35920988,4.862367664,2,36,3.354566918,1,0,1,0,0
2,1,1,1,1,1,52.40631459,4.922417798,1,18,3.39354146,1,0,0,1,0
2,1,1,1,2,1,52.35901103,4.864397798,2,28,3.267712495,1,0,1,0,0
2,1,2,1,1,1,52.36953929,4.86367944,4,34,2.65192318,1,0,1,0,0
2,1,1,1,1,1,52.37285992,4.889274485,2,4,0.984578574,1,0,1,0,0
4,1,2,1,1,1,52.36107403,4.852444997,2,2,3.770295817,1,0,1,0,0
2,1,1,1,2,1,52.35722519,4.926017874,1,4,3.035031823,1,0,1,0,0
2,1,1,2,1,2,52.38217749,4.881808039,3,1,1.240675689,0,1,1,0,0
2,1,1,1,1,1,52.36988746,4.850964431,3,0,3.446688487,1,0,1,0,0
2,1,1,1,1,1,52.35659734,4.887880727,3,6,2.629983247,1,0,1,0,0
4,1.5,2,1,1,1,52.35308896,4.937602796,2,0,3.888560374,1,0,1,0,0
4,1.5,2,2,2,2,52.37800006,4.860824339,4,12,2.622226469,1,0,1,0,0
4,1,1,1,2,1,52.36526507,4.905493665,1,131,1.60103632,1,0,0,1,0
4,1,2,2,3,2,52.34607043,4.890360187,2,11,3.731425493,1,0,1,0,0
4,1,1,1,1,1,52.36182288,4.851607215,2,3,3.775247166,1,0,1,0,0
6,1,4,1,1,1,52.36375757,4.871988086,5,0,2.531259394,1,0,1,0,0
2,1.5,1,13,1,16,52.35061217,4.91238077,1,3,3.294937604,0,1,1,0,0
2,1,1,1,1,1,52.35811365,4.860016536,2,1,3.554831259,1,0,1,0,0
4,2,3,1,1,1,52.36925794,4.888694787,3,1,1.322282212,0,1,1,0,0
2,1,1,1,1,1,52.34962179,4.848056092,4,0,4.790493382,1,0,1,0,0
2,1,1,3,1,3,52.37016993,4.887888725,6,46,1.271869597,1,0,1,0,0
1,1,1,1,1,1,52.3682813,4.849124115,2,20,3.621813083,1,0,0,1,0
4,2,1,1,2,1,52.38936823,4.92845041,2,19,2.270175913,0,1,1,0,0
2,1,1,42,1,43,52.35471973,4.887827384,2,17,2.830845916,1,0,1,0,0
6,1,3,1,2,1,52.34220259,4.848676943,1,4,5.362497012,1,0,1,0,0
2,1,1,1,1,1,52.38539073,4.871315924,3,0,2.027742246,1,0,1,0,0
4,1,2,2,1,2,52.37589111,4.859529024,1,6,2.731524848,1,0,1,0,0
4,1,2,1,2,1,52.34989868,4.848013133,2,2,4.771565131,1,0,1,0,0
5,1,3,1,2,1,52.35591651,4.877233499,2,19,2.992775949,1,0,1,0,0
3,1,1,4,2,4,52.38311844,4.893748819,3,16,0.582432971,0,1,0,1,0
2,1,1,1,1,1,52.36720302,4.892132237,3,1,1.421010328,1,0,1,0,0
3,1,2,1,1,1,52.37124911,4.858895725,2,9,2.888014773,1,0,1,0,0
2,1,1,1,1,1,52.36426009,4.935836637,1,13,2.975393998,1,0,1,0,0
4,1,1,1,2,1,52.38362418,4.858753537,2,24,2.802866428,1,0,1,0,0
2,1,1,1,1,1,52.35957535,4.89437697,5,4,2.20637944,1,0,0,1,0
2,1,1,1,1,1,52.36318555,4.933377694,1,1,2.909854413,1,0,1,0,0
2,1,0,1,1,1,52.38303063,4.870990418,2,71,1.975836141,1,0,1,0,0
12,1,2,5,4,5,52.39380722,4.908670408,2,153,1.741127972,1,0,1,0,0
3,1,1,1,2,1,52.37180993,4.918039668,2,12,1.505352987,0,1,1,0,0
2,0.5,1,1,1,1,52.34527162,4.901877489,2,40,3.772727314,1,0,1,0,0
4,1,2,1,1,1,52.36058482,4.936944481,2,2,3.279079163,0,1,1,0,0
5,1,2,1,1,1,52.36173787,4.904016233,4,3,1.964053115,1,0,1,0,0
4,2,2,1,1,1,52.35381663,4.865704063,4,0,3.631373527,1,0,1,0,0
6,1,3,2,1,2,52.36035115,4.854140672,3,8,3.718178682,1,0,1,0,0
2,1,1,1,1,1,52.36910434,4.924132289,3,2,2.015972535,1,0,1,0,0
2,1,1,1,1,1,52.37511236,4.874783273,2,17,1.732324242,1,0,1,0,0
